2022-05-17 07:05:614 INFO  RegisterPage :103 - Enter text into : [[ChromeDriver: chrome on WINDOWS (899a1ec4ff2feb9cf13470c05f8bfb06)] -> xpath: //input[@id='FirstName']]
2022-05-17 07:05:774 INFO  RegisterPage :108 - Enter text into : [[ChromeDriver: chrome on WINDOWS (899a1ec4ff2feb9cf13470c05f8bfb06)] -> xpath: //input[@id='LastName']]
2022-05-17 07:05:909 INFO  RegisterPage :113 - Enter text into : [[ChromeDriver: chrome on WINDOWS (899a1ec4ff2feb9cf13470c05f8bfb06)] -> xpath: //select[@name='DateOfBirthDay']]
2022-05-17 07:05:56 INFO  RegisterPage :118 - Enter text into : [[ChromeDriver: chrome on WINDOWS (899a1ec4ff2feb9cf13470c05f8bfb06)] -> xpath: //body/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[4]/div[1]/select[2]]
2022-05-17 07:05:175 INFO  RegisterPage :123 - Enter text into : [[ChromeDriver: chrome on WINDOWS (899a1ec4ff2feb9cf13470c05f8bfb06)] -> xpath: //select[@name='DateOfBirthYear']]
2022-05-17 07:05:358 INFO  RegisterPage :128 - Enter text into : [[ChromeDriver: chrome on WINDOWS (899a1ec4ff2feb9cf13470c05f8bfb06)] -> xpath: //input[@id='Email']]
2022-05-17 07:05:520 INFO  RegisterPage :133 - Enter text into : [[ChromeDriver: chrome on WINDOWS (899a1ec4ff2feb9cf13470c05f8bfb06)] -> xpath: //input[@id='Password']]
2022-05-17 07:05:787 INFO  RegisterPage :138 - Enter text into : [[ChromeDriver: chrome on WINDOWS (899a1ec4ff2feb9cf13470c05f8bfb06)] -> xpath: //input[@id='ConfirmPassword']]
2022-05-17 07:05:981 INFO  RegisterPage :143 - Click on Register button : [[ChromeDriver: chrome on WINDOWS (899a1ec4ff2feb9cf13470c05f8bfb06)] -> xpath: //button[@id='register-button']]
2022-05-17 07:05:590 INFO  RegisterPage :173 - Getting text from : [[ChromeDriver: chrome on WINDOWS (899a1ec4ff2feb9cf13470c05f8bfb06)] -> xpath: //div[contains(text(),'Your registration completed')]]
2022-05-17 07:05:734 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-17 07:05:184 INFO  HomePage :79 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (7edabbbd0f28e878752e549c5ab43733)] -> xpath: //a[contains(text(),'Register')]]
2022-05-17 07:05:179 INFO  RegisterPage :98 - Click on Male Gender radio button : [[ChromeDriver: chrome on WINDOWS (7edabbbd0f28e878752e549c5ab43733)] -> xpath: //input[@id='gender-male']]
